qseqid,taxon_name,pident,db,sample_id,count
1_1103_9097_14924_lib_ACATCG_tag_ACGTAT,uncultured Jiaozhou Bay zooplankton;Clytia hemisphaerica;Clytia xiamenensis;Clytia gracilis,100,genbank,ML0577,68
1_1104_10947_12750_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1104_12440_3374_lib_ATTGGC_tag_AGTCAT,Halosydna_brevisetosa_B;Halosydna_brevisetosa_B,99.678,local,ML0577,37
1_1104_12551_7867_lib_ATTGGC_tag_AGTCAT,,,,ML0577,4
1_1104_12804_9350_lib_ACATCG_tag_ACAGTC,Amonardia_normani,100,local,ML0577,634
1_1104_12886_19736_lib_ACATCG_tag_ATGTCG,Amphiascopsis_cinctus,97.444,local,ML0577,27
1_1104_13896_23619_lib_ACATCG_tag_AGACGC,NA,99.679,local,ML0577,2
1_1104_13942_2448_lib_ATTGGC_tag_ACTAGC,,,,ML0577,4
1_1104_14811_22771_lib_ATTGGC_tag_AGCTAG,Mytilus trossulus,99.681,genbank,ML0577,1362
1_1104_15115_8166_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1104_15518_13651_lib_ATTGGC_tag_AGTCAT,Paracalanus sp. C AC-2013,100,genbank,ML0577,1
1_1104_15529_19460_lib_ATTGGC_tag_ACAGTC,,,,ML0577,100
1_1104_16310_7882_lib_ACATCG_tag_AGTCAT,,,,ML0577,1
1_1104_16831_6308_lib_ATTGGC_tag_ACTAGC,,,,ML0577,1
1_1104_16971_6794_lib_ATTGGC_tag_AGCTAG,,,,ML0577,10
1_1104_17245_24632_lib_ACATCG_tag_AGTCAT,,,,ML0577,1
1_1104_17758_4389_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1104_18512_4802_lib_ATTGGC_tag_AGACGC,,,,ML0577,1
1_1104_18569_22626_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1104_19694_19252_lib_ACATCG_tag_ACTAGC,Attheya longicornis,98.697,genbank,ML0577,28
1_1104_20523_21679_lib_CACTGT_tag_AGCTAG,,,,ML0577,2
1_1104_21814_24615_lib_ATTGGC_tag_ACAGTC,,,,ML0577,15
1_1104_22194_20172_lib_ATTGGC_tag_ACGTAT,Exogone,99.65,local,ML0577,612
1_1104_22853_16723_lib_ATTGGC_tag_AGTCAT,Mytilus trossulus,99.681,genbank,ML0577,2
1_1104_23125_8601_lib_ATTGGC_tag_AGTCAT,Fucus spiralis;Fucus vesiculosus,100,genbank,ML0577,130
1_1104_23464_3178_lib_ATTGGC_tag_AGTCAT,,,,ML0577,7
1_1104_24079_18384_lib_ATTGGC_tag_ACTAGC,Dendrobeania_lichenoides,98.722,local,ML0577,531
1_1104_24696_14378_lib_ACATCG_tag_ACAGTC,Syllis_elongata,100,local,ML0577,767
1_1104_24900_23475_lib_ATTGGC_tag_AGTCAT,,,,ML0577,21
1_1104_25622_21654_lib_ACATCG_tag_AGTCAT,,,,ML0577,26
1_1104_27106_7850_lib_ATTGGC_tag_ACTAGC,,,,ML0577,1
1_1104_4154_6527_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1104_4656_19419_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1104_6820_3558_lib_ATTGGC_tag_ACAGTC,,,,ML0577,33
1_1104_7162_13170_lib_ATTGGC_tag_AGTCAT,NA,98.106,local,ML0577,15
1_1105_10025_17503_lib_ATTGGC_tag_AGTCAT,,,,ML0577,57
1_1105_11346_16879_lib_ATTGGC_tag_AGCTAG,,,,ML0577,2
1_1105_11777_17812_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1105_12048_20468_lib_ATTGGC_tag_AGCTAG,NA,97.125,local,ML0577,12
1_1105_12472_16183_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1105_12584_2227_lib_ATTGGC_tag_AGTCAT,,,,ML0577,11
1_1105_13506_21855_lib_ATTGGC_tag_AGTCAT,,,,ML0577,3
1_1105_15452_11890_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1105_15942_3915_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1105_17582_9556_lib_ATTGGC_tag_AGCTAG,,,,ML0577,110
1_1105_17994_14301_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1105_20366_21988_lib_ATTGGC_tag_AGTCAT,Bougainvillia muscus,98.722,genbank,ML0577,65
1_1105_21147_6524_lib_GATCTG_tag_ATAGCA,,,,ML0577,1
1_1105_22104_21536_lib_ATTGGC_tag_AGTCAT,Haliclona sp. E GPM-2011,97.388,genbank,ML0577,2
1_1105_25218_16430_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1105_25980_16096_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1105_26429_7134_lib_ATTGGC_tag_AGTCAT,NA,97.125,local,ML0577,3
1_1105_26485_17424_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1106_12840_6157_lib_ACATCG_tag_ACAGTC,Paleanotus_bellis,100,local,ML0577,165
1_1106_12865_16710_lib_ACATCG_tag_AGTGTA,,,,ML0577,1
1_1106_13576_21627_lib_ACATCG_tag_ACAGTC,Megalomma splendida,100,genbank,ML0577,8
1_1106_13712_17166_lib_ATTGGC_tag_AGACGC,,,,ML0577,54
1_1106_13928_11129_lib_ATTGGC_tag_AGCTAG,,,,ML0577,2
1_1106_14042_6925_lib_ATTGGC_tag_ACAGTC,Exogone,99.293,local,ML0577,8
1_1106_14179_14053_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1106_14767_13124_lib_ACATCG_tag_ACGTAT,,,,ML0577,7756
1_1106_14883_12703_lib_ACATCG_tag_AGTCAT,,,,ML0577,1
1_1106_16330_17963_lib_ATTGGC_tag_AGTCAT,,,,ML0577,9
1_1106_17567_24516_lib_ACATCG_tag_AGACGC,,,,ML0577,186
1_1106_17851_21103_lib_ACATCG_tag_ACAGTC,Parapleustinae_sp._1,100,local,ML0577,85
1_1106_19477_3850_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1106_19542_7683_lib_ATTGGC_tag_AGTCAT,,,,ML0577,15
1_1106_20615_19627_lib_ATTGGC_tag_ACTAGC,Tiaropsis multicirrata,98.083,genbank,ML0577,28
1_1106_21024_20960_lib_ACATCG_tag_ACGTAT,Membranipora membranacea,100,genbank,ML0577,50
1_1106_21052_23870_lib_ATTGGC_tag_AGTCAT,,,,ML0577,15
1_1106_23963_11724_lib_ACATCG_tag_AGACGC,,,,ML0577,8
1_1106_2613_8509_lib_ATTGGC_tag_AGTCAT,,,,ML0577,11
1_1106_27714_8018_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1106_28706_9791_lib_ATTGGC_tag_ACGTAT,,,,ML0577,11
1_1106_3000_11700_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1106_4773_12799_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1106_6291_13964_lib_ACATCG_tag_AGACGC,,,,ML0577,203
1_1106_7252_2530_lib_ATTGGC_tag_ACTAGC,,,,ML0577,53
1_1106_9860_14045_lib_ATTGGC_tag_AGCTAG,Halichondria panicea,98.039,genbank,ML0577,6
1_1107_10048_8825_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1107_10095_20036_lib_ACATCG_tag_ACGTAT,,,,ML0577,2
1_1107_10228_17723_lib_ATTGGC_tag_AGTCAT,Aoroides_sp._1,98.403,local,ML0577,5
1_1107_10767_5061_lib_ATTGGC_tag_AGCTAG,,,,ML0577,17
1_1107_12329_7378_lib_ACATCG_tag_AGACGC,Poecilostomatoida_sp._1,100,local,ML0577,11
1_1107_12835_22305_lib_ACATCG_tag_ACGTAT,Halichondria panicea,98.083,genbank,ML0577,6064
1_1107_15502_7740_lib_ATTGGC_tag_AGCTAG,,,,ML0577,12634
1_1107_16372_14115_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1107_16959_15007_lib_ATTGGC_tag_ACGTAT,Dendrobeania_lichenoides,100,local,ML0577,252
1_1107_17249_14015_lib_ATTGGC_tag_AGACGC,Paracalliopiella_pratti,100,local,ML0577,4
1_1107_21574_13387_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1107_23241_20574_lib_ATTGGC_tag_AGACGC,NA,99.565,local,ML0577,8
1_1107_24638_9440_lib_ATTGGC_tag_AGTGTA,Strongylocentrotus pallidus,100,genbank,ML0577,1
1_1107_26502_12868_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1107_26681_4819_lib_ACATCG_tag_ACGTAT,,,,ML0577,5
1_1107_3670_19707_lib_ATTGGC_tag_ACAGTC,,,,ML0577,7
1_1107_4225_6504_lib_ATTGGC_tag_AGCTAG,,,,ML0577,7
1_1107_5148_15582_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1107_5382_12681_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1107_7102_15627_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1107_7245_23570_lib_GGAACT_tag_AGACGC,,,,ML0577,1
1_1107_8576_7865_lib_ATTGGC_tag_AGTCAT,,,,ML0577,17
1_1107_8722_17742_lib_ATTGGC_tag_AGTCAT,NA,99.042,local,ML0577,1
1_1108_10136_17465_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1108_13185_6427_lib_ACATCG_tag_ACGTAT,,,,ML0577,1
1_1108_14741_16098_lib_GGAACT_tag_AGTCAT,Tisbe_sp._3,99.357,local,ML0577,1
1_1108_15988_11990_lib_ACATCG_tag_AGACGC,Diarthrodes_sp._1,98.722,local,ML0577,236
1_1108_16375_6231_lib_ACATCG_tag_AGCTAG,,,,ML0577,1
1_1108_16582_6362_lib_ACATCG_tag_ACGTAT,Tisbe_sp._3,100,local,ML0577,1381
1_1108_16802_13462_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1108_16973_20634_lib_ACATCG_tag_AGTGTA,,,,ML0577,1
1_1108_17241_7963_lib_ACATCG_tag_ACGTAT,,,,ML0577,5
1_1108_18031_20905_lib_ATTGGC_tag_AGTCAT,Exogone,98.955,local,ML0577,2
1_1108_18271_3973_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1108_19875_18360_lib_ATTGGC_tag_AGTCAT,,,,ML0577,10
1_1108_21523_23416_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1108_21579_23051_lib_ACATCG_tag_ACGTAT,,,,ML0577,21
1_1108_23415_9236_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1108_24748_11454_lib_ATTGGC_tag_AGTCAT,,,,ML0577,5
1_1108_27356_12027_lib_ACATCG_tag_ACAGTC,,,,ML0577,103
1_1108_28318_17120_lib_ATTGGC_tag_AGTCAT,Halichondria panicea,98.722,genbank,ML0577,2
1_1108_3589_18005_lib_ATTGGC_tag_AGTCAT,uncultured Jiaozhou Bay zooplankton,98.403,genbank,ML0577,1
1_1108_4107_11470_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1108_4242_5572_lib_ACATCG_tag_AGACGC,,,,ML0577,2
1_1108_4295_9278_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1108_5545_9998_lib_TACAAG_tag_AGTCAT,,,,ML0577,1
1_1108_6639_5109_lib_ATTGGC_tag_ACTAGC,,,,ML0577,31
1_1108_8971_5557_lib_ACATCG_tag_ACGTAT,,,,ML0577,3
1_1109_10213_18834_lib_ACATCG_tag_ACAGTC,,,,ML0577,2
1_1109_11698_10371_lib_ATTGGC_tag_AGACGC,,,,ML0577,1
1_1109_13281_25090_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1109_13882_12469_lib_ACATCG_tag_AGACGC,,,,ML0577,64
1_1109_15462_24184_lib_ATTGGC_tag_AGTCAT,Halosydna_brevisetosa_B;Halosydna_brevisetosa_B;Halosydna_brevisetosa_B,99.042,local,ML0577,12
1_1109_16414_6460_lib_ATTGGC_tag_AGTCAT,Eusyllis,99.349,local,ML0577,2
1_1109_16702_6474_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1109_17126_12227_lib_ATTGGC_tag_AGTCAT,Stauridiosarsia cliffordi,99.361,genbank,ML0577,3
1_1109_17226_2312_lib_ATTGGC_tag_AGTCAT,,,,ML0577,4
1_1109_17924_8878_lib_ATTGGC_tag_AGTCAT,NA;NA,98.077,local,ML0577,2
1_1109_18475_20464_lib_ACATCG_tag_ACGTAT,,,,ML0577,7
1_1109_18685_2694_lib_ACATCG_tag_AGCTAG,,,,ML0577,1
1_1109_20443_20427_lib_CACTGT_tag_ATGTCG,Glebocarcinus oregonensis;Cancer jordani;Cancer oregonensis,97.125,genbank,ML0577,1
1_1109_21243_22313_lib_CACTGT_tag_ACTAGC,,,,ML0577,1
1_1109_22269_9239_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1109_22770_2457_lib_ATTGGC_tag_ACAGTC,Celleporella hyalina,99.635,genbank,ML0577,942
1_1109_24817_13886_lib_ACATCG_tag_ACAGTC,,,,ML0577,9
1_1109_26921_8573_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1109_5983_12244_lib_ATTGGC_tag_AGCTAG,,,,ML0577,27
1_1109_6432_18977_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1110_14323_19884_lib_ATTGGC_tag_AGTCAT,Halichondria panicea,99.035,genbank,ML0577,1
1_1110_14604_8323_lib_ACATCG_tag_AGTCAT,Diarthrodes_sp._1,100,local,ML0577,16
1_1110_14897_13308_lib_ATTGGC_tag_AGTCAT,,,,ML0577,5
1_1110_16191_11074_lib_ACATCG_tag_ACTAGC,,,,ML0577,12
1_1110_19354_20646_lib_ACATCG_tag_AGCTAG,,,,ML0577,1
1_1110_20265_24888_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1110_2256_12190_lib_ACATCG_tag_ATAGCA,NA;NA;NA;NA;NA,99.681,local,ML0577,1
1_1110_22947_20085_lib_ATTGGC_tag_AGTCAT,,,,ML0577,3
1_1110_29555_12625_lib_ATTGGC_tag_AGTCAT,,,,ML0577,13
1_1110_4441_11938_lib_ATTGGC_tag_ACAGTC,Proceraea_hanssoni,100,local,ML0577,75
1_1110_6534_10557_lib_ATTGGC_tag_ACGTAT,,,,ML0577,1
1_1110_7183_13898_lib_ATTGGC_tag_AGTCAT,Zeuxo_sp._1,100,local,ML0577,2
1_1110_7985_20930_lib_ACATCG_tag_ACGTAT,Polycirrus sp. CMC02,100,genbank,ML0577,3
1_1110_8256_14860_lib_ATTGGC_tag_ACGTAT,,,,ML0577,2
1_1110_8680_2855_lib_ATTGGC_tag_AGTCAT,Tisbe_sp._3,99.035,local,ML0577,2
1_1110_8726_14525_lib_ATTGGC_tag_AGTCAT,Modiolus_modiolus,98.722,local,ML0577,1
1_1110_8798_7318_lib_ACATCG_tag_ATCGAC,,,,ML0577,1
1_1111_10944_6007_lib_ACATCG_tag_ACTAGC,,,,ML0577,2
1_1111_11799_5019_lib_CACTGT_tag_AGTCAT,,,,ML0577,1
1_1111_13068_13023_lib_GGAACT_tag_ACAGTC,,,,ML0577,1
1_1111_13938_12608_lib_ATTGGC_tag_ACGTAT,,,,ML0577,124
1_1111_16542_22129_lib_ACATCG_tag_AGCTAG,Boltenia_villosa,99.681,local,ML0577,268
1_1111_16803_7908_lib_ATTGGC_tag_AGTCAT,,,,ML0577,21
1_1111_16840_21914_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1111_16915_21671_lib_ACATCG_tag_ACGTAT,,,,ML0577,36
1_1111_17354_20689_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1111_20563_21773_lib_ATTGGC_tag_AGTCAT,Myxilla sp. SV-2015;Myxilla mollis,97.802,genbank,ML0577,2
1_1111_22780_18464_lib_ACATCG_tag_AGTGTA,Evadne nordmanni,100,genbank,ML0577,1
1_1111_23108_7037_lib_ATTGGC_tag_AGTCAT,NA,99.681,local,ML0577,5
1_1111_23347_22970_lib_ATTGGC_tag_ACGTAT,,,,ML0577,11
1_1111_23997_17096_lib_ATTGGC_tag_AGCTAG,NA,97.125,local,ML0577,2
1_1111_24940_5761_lib_ATTGGC_tag_AGTCAT,Parastichopus californicus,100,genbank,ML0577,1
1_1111_26055_14965_lib_ATTGGC_tag_AGTCAT,,,,ML0577,10
1_1111_4498_14124_lib_ATTGGC_tag_ACAGTC,Crisia_occidentalis,99.355,local,ML0577,131
1_1111_4762_14975_lib_ACATCG_tag_ACTAGC,Schizobranchia_insignis,100,local,ML0577,1110
1_1111_5915_17186_lib_ACATCG_tag_AGCTAG,,,,ML0577,4
1_1111_6808_12447_lib_ACATCG_tag_AGTGTA,,,,ML0577,8
1_1111_7245_23067_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1111_8025_14973_lib_CACTGT_tag_AGTCAT,,,,ML0577,4
1_1111_8526_6046_lib_ATTGGC_tag_AGTCAT,,,,ML0577,15
1_1111_9203_12488_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1112_11763_8790_lib_ATTGGC_tag_ACAGTC,,,,ML0577,10
1_1112_13662_19238_lib_TACAAG_tag_AGTGTA,,,,ML0577,1
1_1112_13756_10797_lib_ATTGGC_tag_AGCTAG,,,,ML0577,9
1_1112_13963_17116_lib_ATTGGC_tag_AGTCAT,Fucus distichus,100,genbank,ML0577,7
1_1112_14062_17960_lib_ATTGGC_tag_AGTCAT,Microcladia coulteri,99.681,genbank,ML0577,8
1_1112_14133_21669_lib_ACATCG_tag_ACAGTC,,,,ML0577,14
1_1112_16746_18813_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1112_18533_18717_lib_ACATCG_tag_ACGTAT,Tisbe_sp._1,100,local,ML0577,1
1_1112_19077_3028_lib_ACATCG_tag_AGTCAT,,,,ML0577,1
1_1112_20181_23467_lib_ACATCG_tag_AGTGTA,,,,ML0577,10
1_1112_20649_6232_lib_ACATCG_tag_AGACGC,,,,ML0577,3
1_1112_21753_19507_lib_ACATCG_tag_ATCGAC,,,,ML0577,1
1_1112_23346_14317_lib_ACATCG_tag_ATAGCA,,,,ML0577,5
1_1112_26530_21348_lib_ACATCG_tag_AGACGC,NA,100,local,ML0577,153
1_1112_5863_12571_lib_ATTGGC_tag_AGTCAT,,,,ML0577,3
1_1113_14898_20130_lib_ATTGGC_tag_AGTCAT,Geminosyllis ohma,99.681,genbank,ML0577,19
1_1113_15098_21867_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1113_15730_9940_lib_ATTGGC_tag_ACGTAT,,,,ML0577,1
1_1113_16062_15124_lib_ATTGGC_tag_ACAGTC,,,,ML0577,17
1_1113_17333_13356_lib_ATTGGC_tag_ACAGTC,,,,ML0577,6
1_1113_17569_4912_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1113_20345_17360_lib_ATTGGC_tag_ACGTAT,Aoroides_sp._1,97.764,local,ML0577,15
1_1113_20352_19831_lib_ACATCG_tag_ACGTAT,,,,ML0577,3
1_1113_20863_25122_lib_ATTGGC_tag_AGTCAT,,,,ML0577,13
1_1113_21274_17796_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1113_22001_4741_lib_ACATCG_tag_AGACGC,,,,ML0577,7
1_1113_22250_1738_lib_ATTGGC_tag_AGTCAT,NA,98.403,local,ML0577,2
1_1113_22292_12429_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1113_25156_13508_lib_ATTGGC_tag_AGTCAT,,,,ML0577,11
1_1113_25960_8220_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1113_26192_19833_lib_ACATCG_tag_AGACGC,,,,ML0577,1
1_1113_3528_14305_lib_ATTGGC_tag_AGTCAT,,,,ML0577,4
1_1113_8103_9620_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1113_8215_22954_lib_ATTGGC_tag_ACGTAT,,,,ML0577,2
1_1113_8961_13289_lib_ACATCG_tag_ACAGTC,,,,ML0577,1
1_1114_12771_5410_lib_CACTGT_tag_AGTCAT,Halichondria panicea,97.436,genbank,ML0577,1
1_1114_13560_3318_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1114_13714_14388_lib_ACATCG_tag_ACAGTC,,,,ML0577,20
1_1114_17375_19629_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1114_21796_15293_lib_ACATCG_tag_AGCTAG,Bowerbankia_gracilis,99.681,local,ML0577,172
1_1114_24101_14757_lib_ATTGGC_tag_AGCTAG,,,,ML0577,408
1_1114_25863_11756_lib_ATTGGC_tag_ACTAGC,,,,ML0577,13
1_1114_26232_21203_lib_ACATCG_tag_AGTCAT,Bugula pacifica,100,genbank,ML0577,26
1_1114_2686_11125_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1114_27444_11538_lib_ATTGGC_tag_ACGTAT,,,,ML0577,1
1_1114_27467_19208_lib_ACATCG_tag_ATGTCG,,,,ML0577,5
1_1114_5304_14662_lib_ATTGGC_tag_AGTCAT,Schizobranchia_insignis,98.722,local,ML0577,2
1_1114_7811_18302_lib_TACAAG_tag_ACGTAT,,,,ML0577,1
1_1114_9225_15044_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1115_10041_23358_lib_CACTGT_tag_ATAGCA,Acrochaetium plumosum,99.31,genbank,ML0577,1
1_1115_10314_11248_lib_ATTGGC_tag_AGTCAT,,,,ML0577,13
1_1115_10687_2937_lib_ACATCG_tag_ATCGAC,,,,ML0577,14
1_1115_11775_17280_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1115_14593_18890_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1115_16169_15267_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1115_16385_6935_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1115_17621_8284_lib_ATTGGC_tag_AGACGC,,,,ML0577,24
1_1115_19370_16333_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1115_22287_22289_lib_ACATCG_tag_AGCTAG,Strongylocentrotus droebachiensis,100,genbank,ML0577,260
1_1115_23369_22615_lib_ACATCG_tag_ATAGCA,Mesocentrotus franciscanus,100,genbank,ML0577,1
1_1115_24323_6661_lib_ACATCG_tag_ACAGTC,Amphiascopsis_sp._1;NA,100,local,ML0577,610
1_1115_24875_5015_lib_ACATCG_tag_ACAGTC,Euryte_sp._1,99.681,local,ML0577,5
1_1115_26015_18353_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1115_28153_9530_lib_ACATCG_tag_ATCGAC,,,,ML0577,36
1_1115_28803_14661_lib_ATTGGC_tag_AGCTAG,,,,ML0577,2
1_1115_5885_19222_lib_ACATCG_tag_ACGTAT,,,,ML0577,12
1_1115_6491_15547_lib_ATTGGC_tag_AGTCAT,Eubranchus rupium;Eubranchus rustyus,100,genbank,ML0577,1
1_1115_7891_12829_lib_ATTGGC_tag_AGTCAT,Turritopsis lata,100,genbank,ML0577,1
1_1115_9028_16104_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1116_11443_15562_lib_ATTGGC_tag_AGTCAT,,,,ML0577,3
1_1116_11950_13703_lib_ATTGGC_tag_ACTAGC,,,,ML0577,1
1_1116_13244_20798_lib_CACTGT_tag_ATAGCA,Humilaria_kennerleyi,100,local,ML0577,1
1_1116_13866_20084_lib_ATTGGC_tag_ACAGTC,,,,ML0577,4
1_1116_14490_20306_lib_ATTGGC_tag_AGCTAG,,,,ML0577,19
1_1116_15245_18743_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1116_15372_14601_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1116_15497_9146_lib_ATTGGC_tag_AGCTAG,Hiatella sp. I HML-2015,100,genbank,ML0577,3
1_1116_15795_10418_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1116_15823_8524_lib_ATTGGC_tag_AGACGC,,,,ML0577,1
1_1116_16040_6036_lib_ATTGGC_tag_AGTCAT,,,,ML0577,10
1_1116_16418_21489_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1116_18034_2877_lib_ACATCG_tag_AGACGC,Phascolosoma agassizii,100,genbank,ML0577,5
1_1116_18484_24312_lib_ATTGGC_tag_AGTCAT,NA,98.718,local,ML0577,7
1_1116_19506_2081_lib_ATTGGC_tag_AGTCAT,Mytilus trossulus,99.681,genbank,ML0577,3
1_1116_19739_8871_lib_ACATCG_tag_AGCTAG,,,,ML0577,1
1_1116_19957_24561_lib_ACATCG_tag_AGTCAT,,,,ML0577,6
1_1116_2091_15027_lib_ATTGGC_tag_AGTCAT,,,,ML0577,4
1_1116_22383_18421_lib_ACATCG_tag_ACGTAT,,,,ML0577,1
1_1116_23367_14228_lib_ATTGGC_tag_AGTCAT,,,,ML0577,3
1_1116_28256_18691_lib_ATTGGC_tag_AGTCAT,,,,ML0577,5
1_1116_28540_11833_lib_ATTGGC_tag_ACAGTC,uncultured Emiliania;Emiliania huxleyi,100,genbank,ML0577,2
1_1116_4760_9757_lib_ATTGGC_tag_AGCTAG,Amonardia_normani,98.722,local,ML0577,7
1_1116_5127_16465_lib_ACATCG_tag_AGTCAT,Leathesia marina,100,genbank,ML0577,2
1_1116_7490_5119_lib_ACATCG_tag_AGCTAG,,,,ML0577,21
1_1116_8230_25028_lib_ACATCG_tag_ATCGAC,,,,ML0577,1
1_1117_12477_18899_lib_ACATCG_tag_ACGTAT,Thalassiosira nordenskioeldii,99.63,genbank,ML0577,2
1_1117_13616_19240_lib_ATTGGC_tag_ATGTCG,,,,ML0577,1
1_1117_14133_11611_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1117_19061_1661_lib_ATTGGC_tag_AGTCAT,,,,ML0577,8
1_1117_19506_20798_lib_ATTGGC_tag_ACGTAT,,,,ML0577,7
1_1117_19959_23167_lib_ACATCG_tag_ACGTAT,,,,ML0577,4
1_1117_27109_19220_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
1_1117_27610_6222_lib_ATTGGC_tag_AGCTAG,,,,ML0577,1
1_1117_5179_13543_lib_ATTGGC_tag_ACGTAT,,,,ML0577,8
1_1117_7218_14761_lib_ACATCG_tag_AGCTAG,Pholoides asperus,99.361,genbank,ML0577,6
1_1117_8488_18995_lib_ACATCG_tag_ACGTAT,,,,ML0577,1
1_1117_8848_14968_lib_ACATCG_tag_ACAGTC,,,,ML0577,11
1_1118_11386_6087_lib_ATTGGC_tag_AGTCAT,,,,ML0577,1
1_1118_13607_17303_lib_ACATCG_tag_ATGTCG,,,,ML0577,1345
1_1118_15644_19234_lib_ATTGGC_tag_AGACGC,,,,ML0577,2
1_1118_16245_12888_lib_ATTGGC_tag_ACTAGC,Neoamphitrite robusta CMC01,100,genbank,ML0577,1
1_1118_18960_4751_lib_ACATCG_tag_AGCTAG,,,,ML0577,5
1_1118_21459_4091_lib_ACATCG_tag_AGCTAG,,,,ML0577,6
1_1118_22890_5456_lib_ACATCG_tag_ACAGTC,,,,ML0577,19
1_1118_25655_9646_lib_TACAAG_tag_ACGTAT,,,,ML0577,1
1_1118_26993_9219_lib_ATTGGC_tag_AGTCAT,,,,ML0577,5
1_1118_28070_8823_lib_CACTGT_tag_ACGTAT,Syllis alternata CMC02,99.681,genbank,ML0577,5
1_1118_5564_8567_lib_ATTGGC_tag_AGCTAG,,,,ML0577,10
1_1118_9131_8999_lib_ACATCG_tag_ACGTAT,,,,ML0577,527
1_1119_14239_11090_lib_ACATCG_tag_ATCGAC,Pycnococcus provasolii,100,genbank,ML0577,2
1_1119_14261_20922_lib_ATTGGC_tag_AGTCAT,,,,ML0577,2
